"filename", "language", "TypeScript React", "JSON", "comment", "blank", "total"
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/App.tsx", "TypeScript React", 11, 0, 0, 1, 12
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/app/store.tsx", "TypeScript React", 4, 0, 0, 0, 4
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/AddNewPostComponents/ModalToAddPost.tsx", "TypeScript React", 94, 0, 12, 19, 125
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/AddNewPostComponents/ModalWindow.tsx", "TypeScript React", 55, 0, 0, 12, 67
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/AddNewPostComponents/NewImagesSwiper.tsx", "TypeScript React", 43, 0, 0, 5, 48
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Dashboard.tsx", "TypeScript React", 4, 0, 0, 2, 6
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ErrorPopUp.tsx", "TypeScript React", 42, 0, 0, 8, 50
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/FollowingPostsComponents/FollowingPostsSwiper.tsx", "TypeScript React", 53, 0, 0, 7, 60
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/FollowingPostsComponents/ModalWindowForPosts.tsx", "TypeScript React", 61, 0, 0, 10, 71
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/GridColumn.tsx", "TypeScript React", 45, 0, 1, 9, 55
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Header.tsx", "TypeScript React", 8, 0, 0, 1, 9
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ImagesSwiper.tsx", "TypeScript React", -43, 0, -18, -6, -67
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ModalToAddPost.tsx", "TypeScript React", -117, 0, -14, -22, -153
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Post.tsx", "TypeScript React", 74, 0, 0, 10, 84
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Posts/PostsContainer.tsx", "TypeScript React", -29, 0, -2, -7, -38
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Posts/PostsPresentational.tsx", "TypeScript React", -6, 0, 0, -4, -10
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ProfilePosts/ProfilePostsContainer.tsx", "TypeScript React", 29, 0, 0, 8, 37
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ProfilePosts/ProfilePostsPresentational.tsx", "TypeScript React", 48, 0, 0, 5, 53
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/ProfilePosts/ProfilePostsSwiper.tsx", "TypeScript React", 47, 0, 0, 7, 54
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Theme/Themes.tsx", "TypeScript React", 6, 0, 0, 0, 6
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/config.json", "JSON", 0, 1, 0, 1, 2
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/posts/followingsPostsSlice.tsx", "TypeScript React", 50, 0, 3, 8, 61
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/features/posts/userPostsSlice.tsx", "TypeScript React", 38, 0, 1, 8, 47
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Login/LoginContainer.tsx", "TypeScript React", 38, 0, 0, 4, 42
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Login/LoginPresentational.tsx", "TypeScript React", 70, 0, 0, 3, 73
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Main/MainContainer.tsx", "TypeScript React", 66, 0, 1, 9, 76
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Main/MainPresentational.tsx", "TypeScript React", 23, 0, 0, 4, 27
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Profile/ProfileContainer.tsx", "TypeScript React", 0, 0, 0, 1, 1
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Registration/RegistrationContainer.tsx", "TypeScript React", 28, 0, 0, 1, 29
"/Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/routes/Registration/RegistrationPresentational.tsx", "TypeScript React", 82, 0, 0, 3, 85
"Total", "-", 824, 1, -16, 107, 916
