Date : 2023-02-20 16:03:44
Directory : /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src
Total : 81 files,  5080 codes, 101 comments, 613 blanks, all 5794 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         77 |      4,980 |         99 |        610 |      5,689 |
| XML            |          2 |         91 |          2 |          2 |         95 |
| JSON           |          1 |          5 |          0 |          1 |          6 |
| TypeScript     |          1 |          4 |          0 |          0 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |         81 |      5,080 |        101 |        613 |      5,794 |
| . (Files)                                                                                                                    |          4 |         47 |          2 |         10 |         59 |
| ContextProviders                                                                                                             |          2 |         69 |          0 |         16 |         85 |
| app                                                                                                                          |          2 |         22 |          3 |          4 |         29 |
| components                                                                                                                   |         36 |      2,781 |         55 |        322 |      3,158 |
| components (Files)                                                                                                           |         11 |        775 |         24 |        100 |        899 |
| components/AddNewPostComponents                                                                                              |          2 |        207 |         30 |         27 |        264 |
| components/Contacts                                                                                                          |          3 |        249 |          0 |         27 |        276 |
| components/Contacts (Files)                                                                                                  |          2 |        144 |          0 |         18 |        162 |
| components/Contacts/contactBox.tsx                                                                                           |          1 |        105 |          0 |          9 |        114 |
| components/Conversations                                                                                                     |         10 |        905 |          1 |         92 |        998 |
| components/Conversations (Files)                                                                                             |          3 |        367 |          1 |         30 |        398 |
| components/Conversations/FileMessage                                                                                         |          4 |        205 |          0 |         27 |        232 |
| components/Conversations/FilesModal                                                                                          |          2 |        235 |          0 |         24 |        259 |
| components/Conversations/Messages                                                                                            |          1 |         98 |          0 |         11 |        109 |
| components/Emoji                                                                                                             |          1 |         43 |          0 |          6 |         49 |
| components/FollowingPostsComponents                                                                                          |          3 |        340 |          0 |         37 |        377 |
| components/ModalWindow                                                                                                       |          1 |         62 |          0 |         10 |         72 |
| components/ProfilePosts                                                                                                      |          3 |        124 |          0 |         20 |        144 |
| components/Theme                                                                                                             |          2 |         76 |          0 |          3 |         79 |
| features                                                                                                                     |          5 |        211 |          5 |         37 |        253 |
| features/friends                                                                                                             |          1 |         29 |          1 |          7 |         37 |
| features/messages                                                                                                            |          1 |         44 |          1 |          7 |         52 |
| features/posts                                                                                                               |          2 |        102 |          2 |         16 |        120 |
| features/user                                                                                                                |          1 |         36 |          1 |          7 |         44 |
| hocs                                                                                                                         |          1 |         37 |          1 |          9 |         47 |
| hooks                                                                                                                        |         11 |        483 |          0 |         77 |        560 |
| hooks (Files)                                                                                                                |          2 |         72 |          0 |         13 |         85 |
| hooks/fetchHooks                                                                                                             |          9 |        411 |          0 |         64 |        475 |
| hooks/fetchHooks (Files)                                                                                                     |          1 |         36 |          0 |         11 |         47 |
| hooks/fetchHooks/authorization                                                                                               |          4 |        211 |          0 |         27 |        238 |
| hooks/fetchHooks/main                                                                                                        |          1 |         19 |          0 |          9 |         28 |
| hooks/fetchHooks/messanger                                                                                                   |          2 |         83 |          0 |          9 |         92 |
| hooks/fetchHooks/users                                                                                                       |          1 |         62 |          0 |          8 |         70 |
| lib                                                                                                                          |          3 |        108 |          0 |         13 |        121 |
| lib/main                                                                                                                     |          1 |         45 |          0 |          4 |         49 |
| lib/messanger                                                                                                                |          2 |         63 |          0 |          9 |         72 |
| otherFiles                                                                                                                   |          2 |         91 |          2 |          2 |         95 |
| routes                                                                                                                       |         15 |      1,231 |         33 |        123 |      1,387 |
| routes (Files)                                                                                                               |          5 |        370 |          6 |         44 |        420 |
| routes/Friends                                                                                                               |          2 |        110 |          0 |         12 |        122 |
| routes/Login                                                                                                                 |          2 |        260 |          0 |         19 |        279 |
| routes/Main                                                                                                                  |          2 |         80 |          1 |         17 |         98 |
| routes/Profile                                                                                                               |          2 |        149 |         26 |         18 |        193 |
| routes/Registration                                                                                                          |          2 |        262 |          0 |         13 |        275 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                     | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/App.tsx                                                       | TypeScript JSX |         14 |          0 |          4 |         18 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/ContextProviders/ClienErrorHandlingProvider.tsx               | TypeScript JSX |         34 |          0 |          8 |         42 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/ContextProviders/ThemeContextProvider.tsx                     | TypeScript JSX |         35 |          0 |          8 |         43 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/app/hooks.tsx                                                 | TypeScript JSX |          5 |          1 |          1 |          7 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/app/store.tsx                                                 | TypeScript JSX |         17 |          2 |          3 |         22 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/AddNewPostComponents/ModalToAddPost.tsx            | TypeScript JSX |        165 |         30 |         22 |        217 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/AddNewPostComponents/NewImagesSwiper.tsx           | TypeScript JSX |         42 |          0 |          5 |         47 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/AuthorizationForm.tsx                              | TypeScript JSX |         75 |          0 |          8 |         83 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Contacts/ContactsContainer.tsx                     | TypeScript JSX |         39 |          0 |         10 |         49 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Contacts/ContactsPresentaional.tsx                 | TypeScript JSX |        105 |          0 |          8 |        113 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Contacts/contactBox.tsx/contactBox.tsx             | TypeScript JSX |        105 |          0 |          9 |        114 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Conversations/ConversationPresentational.tsx       | TypeScript JSX |        231 |          0 |         12 |        243 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Conversations/ConversationsContainer.tsx           | TypeScript JSX |         84 |          1 |         11 |         96 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Conversations/DefaultConversation.tsx              | TypeScript JSX |         52 |          0 |          7 |         59 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Conversations/FileMessage/File.tsx                 | TypeScript JSX |         79 |          0 |         10 |         89 |
| /Users/egormaksimov/Documents/PROGRAMMING/instagram/client/src/components/Conversations/FileMessage/FileMessage.tsx          | TypeScript JSX |         48 |          0 |          7 |         55 |
